,src1,src2,profile,ch,mass,quantile,sigma_v
302,CBe,Wil1,Einasto,mu,100000,0.5,9.80160019647796e-23
303,CBe,Wil1,Einasto,mu,100000,0.68,1.1762345623005175e-22
304,CBe,Wil1,Einasto,mu,100000,0.95,2.1463946512632377e-22
305,CBe,Wil1,Einasto,tau,70,0.05,1.5038563505413357e-25
306,CBe,Wil1,Einasto,tau,70,0.32,2.2599730646892004e-25
307,CBe,Wil1,Einasto,tau,70,0.5,2.7021782133123942e-25
308,CBe,Wil1,Einasto,tau,70,0.68,3.1579386172220707e-25
309,CBe,Wil1,Einasto,tau,70,0.95,4.617092588631626e-25
310,CBe,Wil1,Einasto,tau,100,0.05,1.0469799922984992e-25
311,CBe,Wil1,Einasto,tau,100,0.32,1.5598401522920208e-25
312,CBe,Wil1,Einasto,tau,100,0.5,1.8489100142065608e-25
313,CBe,Wil1,Einasto,tau,100,0.68,2.158786479808956e-25
314,CBe,Wil1,Einasto,tau,100,0.95,3.146872996467245e-25
315,CBe,Wil1,Einasto,tau,200,0.05,8.298003025206636e-26
316,CBe,Wil1,Einasto,tau,200,0.32,1.2359616740010223e-25
317,CBe,Wil1,Einasto,tau,200,0.5,1.4717967358199791e-25
318,CBe,Wil1,Einasto,tau,200,0.68,1.764708576506753e-25
319,CBe,Wil1,Einasto,tau,200,0.95,2.7091531703108577e-25
320,CBe,Wil1,Einasto,tau,500,0.05,1.0021030603936375e-25
321,CBe,Wil1,Einasto,tau,500,0.32,1.493335128591776e-25
322,CBe,Wil1,Einasto,tau,500,0.5,1.7871492062581503e-25
323,CBe,Wil1,Einasto,tau,500,0.68,2.1359687107468296e-25
324,CBe,Wil1,Einasto,tau,500,0.95,3.225527836976278e-25
325,CBe,Wil1,Einasto,tau,1000,0.05,1.2619855604359546e-25
326,CBe,Wil1,Einasto,tau,1000,0.32,1.9684400802747767e-25
327,CBe,Wil1,Einasto,tau,1000,0.5,2.3571181579312604e-25
328,CBe,Wil1,Einasto,tau,1000,0.68,2.798137478367273e-25
329,CBe,Wil1,Einasto,tau,1000,0.95,4.452787931669461e-25
330,CBe,Wil1,Einasto,tau,5000,0.05,2.9924392921415663e-25
331,CBe,Wil1,Einasto,tau,5000,0.32,4.67515116128473e-25
332,CBe,Wil1,Einasto,tau,5000,0.5,5.677605036451234e-25
